Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
mongo,mango
json,jason
json,janson
json,jin
json,jayson
CX,sex
bin,ben
Kotlin,scotland
Kotlin,cortland
Kotlin,nil talk
console,consul
queue,cue
queue,cu
broker,brooker
URL,ural
URL,hurl
config,convict
would,wood
sure,shore
pom,palm
theater,theatre
val,vow
data,datta
data,dada
this,dis
none,nun
fulfillment,fulfilment
YPPY,yippee
YPPY,yippie
YPPY,yipe
YPPY,gie
lock,locke
not,naught
not,nott
boolean,bullion
main,mean
main,maine
any,annie
any,ani
current,currant
current,corin
barcode,barco
depot,deo
not,knot


